Name	Lon	Lat
PAN01TC_wide_base.txt	-65.68809	66.1505
PAN02TC_wide_base.txt	-65.67071	66.15515
PAN06TC_wide_base.txt	-65.70708	66.14467
PAN14TC_wide_base.txt	-65.72065	66.14418
Pangnirtung	-65.71	66.14
Piksiksak	-157.0814	70.0366
Pilgrim Hot Springs	-164.895	65.085
Pond_Inlet	-77.97	72.69
PUVIREF_wide_DLY .txt	-77.28697	60.0567
RAMA2	-154.3446	67.6243
Red Sheep Creek	-144.8421	68.6816
RUGA2	-150.54	62.71
Sag1 MNT (Moist Non-Acidic Tundra)	-148.674	69.433
Sag2 MAT (Moist Acidic Tundra)	-148.7	69.428
Salluit_HT154	-75.636408	62.203643
Samoilov_Center	126.483	72.37
Samoilov_Rim	126.483	72.37
Samoilov_Slope	126.483	72.37
Saudafell_near_Snæfell	-15.503	64.885
Selawik Village	-160.019	66.606
Smith Lake 1	-147.861	64.869
Smith Lake 2	-147.857	64.866
Smith Lake 3	-147.859	64.868
Smith Lake 4	-147.858	64.867
South Meade	-156.8353	70.6285
SRTA2	-164.7078	65.8523
SRWA2	-159.8413	67.4599
SSIA2	-160.3957	67.995
TAHA2	-163.5672	67.5502
Tamma_11-87	129.758	61.73
Tasiujaq/HT157	-69.93	58.7
Terkh_M6a_(valley_bottom)	99.378	48.082
TKLA2	-150.043	63.524
TP-4S(TGI)	91.871	32.708
TP-8D(Buquhe)	92.35	33.85
TP-9D_(Tanggulashan)	91.66	33.01
Tro-BH1_x_Tron	10.702	62.174
TSJQ157_wide_DLY .txt	-69.929962	58.701972
TSJQ304_wide_DLY .txt	-69.95223	58.66993
Tunalik	-161.0781	70.1959
Tuymada_70	129.656	62.014
UAF Farm	-147.857	64.853
UAF_Farm_1	-147.858	64.853
UAF_Farm_3	-147.858	64.853
Umiat	-152.1428	69.3957
UPRA2	-143.202	64.517
Urengoy_05-01_x	76.904	66.314
Urengoy_05-03	76.905	66.314
Urengoy_15-08_x	76.695	67.478
Verkhnyaya_Lutenga_11-95	128.833	60.928
Vorkuta_EK-67	63.333	67.383
Vorkuta_ZS-247	63.368	67.398
Vorkuta_ZS-25	63.515	67.4
Vorkuta_ZS-83a	63.365	67.396
